,Area,Area Id,Variable Name,Variable Id,Year,Value
0,Afghanistan,2.0,MDG 7.5. Freshwater withdrawal as % of total renewable water resources,4275.0,1975.0,16.38
1,Afghanistan,2.0,MDG 7.5. Freshwater withdrawal as % of total renewable water resources,4275.0,1987.0,39.97
2,Afghanistan,2.0,MDG 7.5. Freshwater withdrawal as % of total renewable water resources,4275.0,2000.0,31.04
6,Albania,3.0,MDG 7.5. Freshwater withdrawal as % of total renewable water resources,4275.0,1990.0,3.9739999999999998
7,Albania,3.0,MDG 7.5. Freshwater withdrawal as % of total renewable water resources,4275.0,2000.0,6.086
8,Albania,3.0,MDG 7.5. Freshwater withdrawal as % of total renewable water resources,4275.0,2006.0,4.341
9,Albania,3.0,MDG 7.5. Freshwater withdrawal as % of total renewable water resources,4275.0,2017.0,3.9339999999999997
14,Algeria,4.0,MDG 7.5. Freshwater withdrawal as % of total renewable water resources,4275.0,1970.0,17.14
15,Algeria,4.0,MDG 7.5. Freshwater withdrawal as % of total renewable water resources,4275.0,1975.0,21.42
16,Algeria,4.0,MDG 7.5. Freshwater withdrawal as % of total renewable water resources,4275.0,1980.0,25.71
17,Algeria,4.0,MDG 7.5. Freshwater withdrawal as % of total renewable water resources,4275.0,1985.0,29.99
18,Algeria,4.0,MDG 7.5. Freshwater withdrawal as % of total renewable water resources,4275.0,1990.0,38.01
19,Algeria,4.0,MDG 7.5. Freshwater withdrawal as % of total renewable water resources,4275.0,2001.0,48.89
20,Algeria,4.0,MDG 7.5. Freshwater withdrawal as % of total renewable water resources,4275.0,2012.0,66.92
21,Algeria,4.0,MDG 7.5. Freshwater withdrawal as % of total renewable water resources,4275.0,2017.0,83.99
30,Angola,7.0,MDG 7.5. Freshwater withdrawal as % of total renewable water resources,4275.0,1987.0,0.3235
31,Angola,7.0,MDG 7.5. Freshwater withdrawal as % of total renewable water resources,4275.0,2000.0,0.4315
32,Angola,7.0,MDG 7.5. Freshwater withdrawal as % of total renewable water resources,4275.0,2005.0,0.4755
36,Antigua and Barbuda,8.0,MDG 7.5. Freshwater withdrawal as % of total renewable water resources,4275.0,1990.0,3.2689999999999997
37,Antigua and Barbuda,8.0,MDG 7.5. Freshwater withdrawal as % of total renewable water resources,4275.0,2005.0,9.808
38,Antigua and Barbuda,8.0,MDG 7.5. Freshwater withdrawal as % of total renewable water resources,4275.0,2012.0,8.462
42,Argentina,9.0,MDG 7.5. Freshwater withdrawal as % of total renewable water resources,4275.0,1976.0,3.15
43,Argentina,9.0,MDG 7.5. Freshwater withdrawal as % of total renewable water resources,4275.0,1995.0,3.262
44,Argentina,9.0,MDG 7.5. Freshwater withdrawal as % of total renewable water resources,4275.0,2011.0,4.302
48,Armenia,1.0,MDG 7.5. Freshwater withdrawal as % of total renewable water resources,4275.0,1997.0,23.81
49,Armenia,1.0,MDG 7.5. Freshwater withdrawal as % of total renewable water resources,4275.0,2002.0,22.29
50,Armenia,1.0,MDG 7.5. Freshwater withdrawal as % of total renewable water resources,4275.0,2007.0,36.79
51,Armenia,1.0,MDG 7.5. Freshwater withdrawal as % of total renewable water resources,4275.0,2012.0,37.86
52,Armenia,1.0,MDG 7.5. Freshwater withdrawal as % of total renewable water resources,4275.0,2017.0,36.88
58,Australia,10.0,MDG 7.5. Freshwater withdrawal as % of total renewable water resources,4275.0,1996.0,4.478
59,Australia,10.0,MDG 7.5. Freshwater withdrawal as % of total renewable water resources,4275.0,2001.0,4.37
60,Australia,10.0,MDG 7.5. Freshwater withdrawal as % of total renewable water resources,4275.0,2005.0,3.762
61,Australia,10.0,MDG 7.5. Freshwater withdrawal as % of total renewable water resources,4275.0,2012.0,3.14
62,Australia,10.0,MDG 7.5. Freshwater withdrawal as % of total renewable water resources,4275.0,2017.0,3.24
68,Austria,11.0,MDG 7.5. Freshwater withdrawal as % of total renewable water resources,4275.0,1980.0,4.2989999999999995
69,Austria,11.0,MDG 7.5. Freshwater withdrawal as % of total renewable water resources,4275.0,1985.0,4.605
70,Austria,11.0,MDG 7.5. Freshwater withdrawal as % of total renewable water resources,4275.0,1990.0,4.897
