,Area,Area Id,Variable Name,Variable Id,Year,Value
0,Afghanistan,2.0,Total renewable water resources per capita,4190.0,1962.0,6990.0
1,Afghanistan,2.0,Total renewable water resources per capita,4190.0,1967.0,6298.0
2,Afghanistan,2.0,Total renewable water resources per capita,4190.0,1972.0,5573.0
3,Afghanistan,2.0,Total renewable water resources per capita,4190.0,1977.0,4999.0
4,Afghanistan,2.0,Total renewable water resources per capita,4190.0,1982.0,5124.0
5,Afghanistan,2.0,Total renewable water resources per capita,4190.0,1987.0,5679.0
6,Afghanistan,2.0,Total renewable water resources per capita,4190.0,1992.0,4673.0
7,Afghanistan,2.0,Total renewable water resources per capita,4190.0,1997.0,3554.0
8,Afghanistan,2.0,Total renewable water resources per capita,4190.0,2002.0,2972.0
9,Afghanistan,2.0,Total renewable water resources per capita,4190.0,2007.0,2454.0
10,Afghanistan,2.0,Total renewable water resources per capita,4190.0,2012.0,2128.0
11,Afghanistan,2.0,Total renewable water resources per capita,4190.0,2017.0,1839.0
12,Albania,3.0,Total renewable water resources per capita,4190.0,1962.0,17376.0
13,Albania,3.0,Total renewable water resources per capita,4190.0,1967.0,15108.0
14,Albania,3.0,Total renewable water resources per capita,4190.0,1972.0,13398.0
15,Albania,3.0,Total renewable water resources per capita,4190.0,1977.0,11994.0
16,Albania,3.0,Total renewable water resources per capita,4190.0,1982.0,10832.0
17,Albania,3.0,Total renewable water resources per capita,4190.0,1987.0,9676.0
18,Albania,3.0,Total renewable water resources per capita,4190.0,1992.0,9318.0
19,Albania,3.0,Total renewable water resources per capita,4190.0,1997.0,9764.0
20,Albania,3.0,Total renewable water resources per capita,4190.0,2002.0,9683.0
21,Albania,3.0,Total renewable water resources per capita,4190.0,2007.0,9987.0
22,Albania,3.0,Total renewable water resources per capita,4190.0,2012.0,10342.0
23,Albania,3.0,Total renewable water resources per capita,4190.0,2017.0,10307.0
24,Algeria,4.0,Total renewable water resources per capita,4190.0,1962.0,998.3
25,Algeria,4.0,Total renewable water resources per capita,4190.0,1967.0,873.9
26,Algeria,4.0,Total renewable water resources per capita,4190.0,1972.0,758.9
27,Algeria,4.0,Total renewable water resources per capita,4190.0,1977.0,659.7
28,Algeria,4.0,Total renewable water resources per capita,4190.0,1982.0,567.2
29,Algeria,4.0,Total renewable water resources per capita,4190.0,1987.0,487.9
30,Algeria,4.0,Total renewable water resources per capita,4190.0,1992.0,429.3
31,Algeria,4.0,Total renewable water resources per capita,4190.0,1997.0,390.5
32,Algeria,4.0,Total renewable water resources per capita,4190.0,2002.0,364.7
33,Algeria,4.0,Total renewable water resources per capita,4190.0,2007.0,340.2
34,Algeria,4.0,Total renewable water resources per capita,4190.0,2012.0,310.7
35,Algeria,4.0,Total renewable water resources per capita,4190.0,2017.0,282.4
36,Andorra,6.0,Total renewable water resources per capita,4190.0,1962.0,20534.0
37,Andorra,6.0,Total renewable water resources per capita,4190.0,1967.0,15202.0
38,Andorra,6.0,Total renewable water resources per capita,4190.0,1972.0,11737.0
39,Andorra,6.0,Total renewable water resources per capita,4190.0,1977.0,9631.0
40,Andorra,6.0,Total renewable water resources per capita,4190.0,1982.0,8070.0
41,Andorra,6.0,Total renewable water resources per capita,4190.0,1987.0,6513.0
42,Andorra,6.0,Total renewable water resources per capita,4190.0,1992.0,5359.0
43,Andorra,6.0,Total renewable water resources per capita,4190.0,1997.0,4906.0
44,Andorra,6.0,Total renewable water resources per capita,4190.0,2002.0,4505.0
45,Andorra,6.0,Total renewable water resources per capita,4190.0,2007.0,3817.0
46,Andorra,6.0,Total renewable water resources per capita,4190.0,2012.0,3829.0
47,Andorra,6.0,Total renewable water resources per capita,4190.0,2017.0,4101.0
48,Angola,7.0,Total renewable water resources per capita,4190.0,1962.0,25298.0
49,Angola,7.0,Total renewable water resources per capita,4190.0,1967.0,23133.0
50,Angola,7.0,Total renewable water resources per capita,4190.0,1972.0,20916.0
51,Angola,7.0,Total renewable water resources per capita,4190.0,1977.0,18251.0
52,Angola,7.0,Total renewable water resources per capita,4190.0,1982.0,15487.0
53,Angola,7.0,Total renewable water resources per capita,4190.0,1987.0,13229.0
54,Angola,7.0,Total renewable water resources per capita,4190.0,1992.0,11444.0
55,Angola,7.0,Total renewable water resources per capita,4190.0,1997.0,9835.0
56,Angola,7.0,Total renewable water resources per capita,4190.0,2002.0,8445.0
57,Angola,7.0,Total renewable water resources per capita,4190.0,2007.0,7067.0
58,Angola,7.0,Total renewable water resources per capita,4190.0,2012.0,5913.0
59,Angola,7.0,Total renewable water resources per capita,4190.0,2017.0,4983.0
60,Antigua and Barbuda,8.0,Total renewable water resources per capita,4190.0,1962.0,910.0
61,Antigua and Barbuda,8.0,Total renewable water resources per capita,4190.0,1967.0,820.7
62,Antigua and Barbuda,8.0,Total renewable water resources per capita,4190.0,1972.0,751.7
63,Antigua and Barbuda,8.0,Total renewable water resources per capita,4190.0,1977.0,713.5
64,Antigua and Barbuda,8.0,Total renewable water resources per capita,4190.0,1982.0,717.7
65,Antigua and Barbuda,8.0,Total renewable water resources per capita,4190.0,1987.0,766.5
66,Antigua and Barbuda,8.0,Total renewable water resources per capita,4190.0,1992.0,759.9
67,Antigua and Barbuda,8.0,Total renewable water resources per capita,4190.0,1997.0,668.9
68,Antigua and Barbuda,8.0,Total renewable water resources per capita,4190.0,2002.0,602.8
69,Antigua and Barbuda,8.0,Total renewable water resources per capita,4190.0,2007.0,569.1
70,Antigua and Barbuda,8.0,Total renewable water resources per capita,4190.0,2012.0,537.3
71,Antigua and Barbuda,8.0,Total renewable water resources per capita,4190.0,2017.0,509.8
72,Argentina,9.0,Total renewable water resources per capita,4190.0,1962.0,41159.0
73,Argentina,9.0,Total renewable water resources per capita,4190.0,1967.0,38209.0
74,Argentina,9.0,Total renewable water resources per capita,4190.0,1972.0,35355.0
75,Argentina,9.0,Total renewable water resources per capita,4190.0,1977.0,32598.0
76,Argentina,9.0,Total renewable water resources per capita,4190.0,1982.0,30220.0
77,Argentina,9.0,Total renewable water resources per capita,4190.0,1987.0,27970.0
78,Argentina,9.0,Total renewable water resources per capita,4190.0,1992.0,26035.0
79,Argentina,9.0,Total renewable water resources per capita,4190.0,1997.0,24452.0
80,Argentina,9.0,Total renewable water resources per capita,4190.0,2002.0,23125.0
81,Argentina,9.0,Total renewable water resources per capita,4190.0,2007.0,21921.0
82,Argentina,9.0,Total renewable water resources per capita,4190.0,2012.0,20814.0
83,Argentina,9.0,Total renewable water resources per capita,4190.0,2017.0,19792.0
84,Armenia,1.0,Total renewable water resources per capita,4190.0,1992.0,2256.0
85,Armenia,1.0,Total renewable water resources per capita,4190.0,1997.0,2480.0
86,Armenia,1.0,Total renewable water resources per capita,4190.0,2002.0,2561.0
87,Armenia,1.0,Total renewable water resources per capita,4190.0,2007.0,2649.0
88,Armenia,1.0,Total renewable water resources per capita,4190.0,2012.0,2696.0
89,Armenia,1.0,Total renewable water resources per capita,4190.0,2017.0,2652.0
90,Australia,10.0,Total renewable water resources per capita,4190.0,1962.0,46016.0
91,Australia,10.0,Total renewable water resources per capita,4190.0,1967.0,41175.0
92,Australia,10.0,Total renewable water resources per capita,4190.0,1972.0,37001.0
93,Australia,10.0,Total renewable water resources per capita,4190.0,1977.0,34765.0
94,Australia,10.0,Total renewable water resources per capita,4190.0,1982.0,32711.0
95,Australia,10.0,Total renewable water resources per capita,4190.0,1987.0,30268.0
96,Australia,10.0,Total renewable water resources per capita,4190.0,1992.0,28137.0
97,Australia,10.0,Total renewable water resources per capita,4190.0,1997.0,26641.0
98,Australia,10.0,Total renewable water resources per capita,4190.0,2002.0,25263.0
99,Australia,10.0,Total renewable water resources per capita,4190.0,2007.0,23488.0
100,Australia,10.0,Total renewable water resources per capita,4190.0,2012.0,21558.0
101,Australia,10.0,Total renewable water resources per capita,4190.0,2017.0,20123.0
102,Austria,11.0,Total renewable water resources per capita,4190.0,1962.0,10857.0
103,Austria,11.0,Total renewable water resources per capita,4190.0,1967.0,10504.0
104,Austria,11.0,Total renewable water resources per capita,4190.0,1972.0,10249.0
105,Austria,11.0,Total renewable water resources per capita,4190.0,1977.0,10174.0
106,Austria,11.0,Total renewable water resources per capita,4190.0,1982.0,10221.0
107,Austria,11.0,Total renewable water resources per capita,4190.0,1987.0,10171.0
108,Austria,11.0,Total renewable water resources per capita,4190.0,1992.0,9922.0
109,Austria,11.0,Total renewable water resources per capita,4190.0,1997.0,9673.0
110,Austria,11.0,Total renewable water resources per capita,4190.0,2002.0,9552.0
111,Austria,11.0,Total renewable water resources per capita,4190.0,2007.0,9348.0
112,Austria,11.0,Total renewable water resources per capita,4190.0,2012.0,9122.0
113,Austria,11.0,Total renewable water resources per capita,4190.0,2017.0,8895.0
114,Azerbaijan,52.0,Total renewable water resources per capita,4190.0,1992.0,4641.0
115,Azerbaijan,52.0,Total renewable water resources per capita,4190.0,1997.0,4375.0
116,Azerbaijan,52.0,Total renewable water resources per capita,4190.0,2002.0,4190.0
117,Azerbaijan,52.0,Total renewable water resources per capita,4190.0,2007.0,3975.0
118,Azerbaijan,52.0,Total renewable water resources per capita,4190.0,2012.0,3743.0
119,Azerbaijan,52.0,Total renewable water resources per capita,4190.0,2017.0,3529.0
120,Bahamas,12.0,Total renewable water resources per capita,4190.0,1962.0,5780.0
121,Bahamas,12.0,Total renewable water resources per capita,4190.0,1967.0,4587.0
122,Bahamas,12.0,Total renewable water resources per capita,4190.0,1972.0,3937.0
123,Bahamas,12.0,Total renewable water resources per capita,4190.0,1977.0,3551.0
124,Bahamas,12.0,Total renewable water resources per capita,4190.0,1982.0,3177.0
125,Bahamas,12.0,Total renewable water resources per capita,4190.0,1987.0,2876.0
126,Bahamas,12.0,Total renewable water resources per capita,4190.0,1992.0,2631.0
127,Bahamas,12.0,Total renewable water resources per capita,4190.0,1997.0,2439.0
128,Bahamas,12.0,Total renewable water resources per capita,4190.0,2002.0,2264.0
129,Bahamas,12.0,Total renewable water resources per capita,4190.0,2007.0,2045.0
130,Bahamas,12.0,Total renewable water resources per capita,4190.0,2012.0,1882.0
131,Bahamas,12.0,Total renewable water resources per capita,4190.0,2017.0,1770.0
132,Bahrain,13.0,Total renewable water resources per capita,4190.0,1962.0,670.1
133,Bahrain,13.0,Total renewable water resources per capita,4190.0,1967.0,591.5
134,Bahrain,13.0,Total renewable water resources per capita,4190.0,1972.0,506.1
135,Bahrain,13.0,Total renewable water resources per capita,4190.0,1977.0,382.6
136,Bahrain,13.0,Total renewable water resources per capita,4190.0,1982.0,300.5
137,Bahrain,13.0,Total renewable water resources per capita,4190.0,1987.0,258.4
138,Bahrain,13.0,Total renewable water resources per capita,4190.0,1992.0,221.8
139,Bahrain,13.0,Total renewable water resources per capita,4190.0,1997.0,195.0
140,Bahrain,13.0,Total renewable water resources per capita,4190.0,2002.0,157.8
141,Bahrain,13.0,Total renewable water resources per capita,4190.0,2007.0,112.0
142,Bahrain,13.0,Total renewable water resources per capita,4190.0,2012.0,89.23
143,Bahrain,13.0,Total renewable water resources per capita,4190.0,2017.0,77.7
144,Bangladesh,16.0,Total renewable water resources per capita,4190.0,1962.0,24045.0
145,Bangladesh,16.0,Total renewable water resources per capita,4190.0,1967.0,20580.0
146,Bangladesh,16.0,Total renewable water resources per capita,4190.0,1972.0,18152.0
147,Bangladesh,16.0,Total renewable water resources per capita,4190.0,1977.0,16376.0
148,Bangladesh,16.0,Total renewable water resources per capita,4190.0,1982.0,14266.0
149,Bangladesh,16.0,Total renewable water resources per capita,4190.0,1987.0,12477.0
150,Bangladesh,16.0,Total renewable water resources per capita,4190.0,1992.0,11032.0
151,Bangladesh,16.0,Total renewable water resources per capita,4190.0,1997.0,9907.0
152,Bangladesh,16.0,Total renewable water resources per capita,4190.0,2002.0,8982.0
153,Bangladesh,16.0,Total renewable water resources per capita,4190.0,2007.0,8339.0
154,Bangladesh,16.0,Total renewable water resources per capita,4190.0,2012.0,7879.0
155,Bangladesh,16.0,Total renewable water resources per capita,4190.0,2017.0,7451.0
156,Barbados,14.0,Total renewable water resources per capita,4190.0,1962.0,343.9
157,Barbados,14.0,Total renewable water resources per capita,4190.0,1967.0,338.1
158,Barbados,14.0,Total renewable water resources per capita,4190.0,1972.0,331.4
159,Barbados,14.0,Total renewable water resources per capita,4190.0,1977.0,321.5
160,Barbados,14.0,Total renewable water resources per capita,4190.0,1982.0,315.2
161,Barbados,14.0,Total renewable water resources per capita,4190.0,1987.0,310.6
162,Barbados,14.0,Total renewable water resources per capita,4190.0,1992.0,305.1
163,Barbados,14.0,Total renewable water resources per capita,4190.0,1997.0,299.7
164,Barbados,14.0,Total renewable water resources per capita,4190.0,2002.0,294.7
165,Barbados,14.0,Total renewable water resources per capita,4190.0,2007.0,289.6
166,Barbados,14.0,Total renewable water resources per capita,4190.0,2012.0,284.1
167,Barbados,14.0,Total renewable water resources per capita,4190.0,2017.0,280.0
168,Belarus,57.0,Total renewable water resources per capita,4190.0,1992.0,5665.0
169,Belarus,57.0,Total renewable water resources per capita,4190.0,1997.0,5748.0
170,Belarus,57.0,Total renewable water resources per capita,4190.0,2002.0,5904.0
171,Belarus,57.0,Total renewable water resources per capita,4190.0,2007.0,6071.0
172,Belarus,57.0,Total renewable water resources per capita,4190.0,2012.0,6113.0
173,Belarus,57.0,Total renewable water resources per capita,4190.0,2017.0,6115.0
174,Belgium,255.0,Total renewable water resources per capita,4190.0,1962.0,1991.0
175,Belgium,255.0,Total renewable water resources per capita,4190.0,1967.0,1931.0
176,Belgium,255.0,Total renewable water resources per capita,4190.0,1972.0,1896.0
177,Belgium,255.0,Total renewable water resources per capita,4190.0,1977.0,1877.0
178,Belgium,255.0,Total renewable water resources per capita,4190.0,1982.0,1863.0
179,Belgium,255.0,Total renewable water resources per capita,4190.0,1987.0,1854.0
180,Belgium,255.0,Total renewable water resources per capita,4190.0,1992.0,1827.0
181,Belgium,255.0,Total renewable water resources per capita,4190.0,1997.0,1795.0
182,Belgium,255.0,Total renewable water resources per capita,4190.0,2002.0,1766.0
183,Belgium,255.0,Total renewable water resources per capita,4190.0,2007.0,1711.0
184,Belgium,255.0,Total renewable water resources per capita,4190.0,2012.0,1651.0
185,Belgium,255.0,Total renewable water resources per capita,4190.0,2017.0,1601.0
186,Belize,23.0,Total renewable water resources per capita,4190.0,1962.0,223146.0
187,Belize,23.0,Total renewable water resources per capita,4190.0,1967.0,192813.0
188,Belize,23.0,Total renewable water resources per capita,4190.0,1972.0,170833.0
189,Belize,23.0,Total renewable water resources per capita,4190.0,1977.0,158613.0
190,Belize,23.0,Total renewable water resources per capita,4190.0,1982.0,143432.0
191,Belize,23.0,Total renewable water resources per capita,4190.0,1987.0,124670.0
192,Belize,23.0,Total renewable water resources per capita,4190.0,1992.0,111837.0
193,Belize,23.0,Total renewable water resources per capita,4190.0,1997.0,98060.0
194,Belize,23.0,Total renewable water resources per capita,4190.0,2002.0,82876.0
195,Belize,23.0,Total renewable water resources per capita,4190.0,2007.0,72822.0
196,Belize,23.0,Total renewable water resources per capita,4190.0,2012.0,64538.0
197,Belize,23.0,Total renewable water resources per capita,4190.0,2017.0,57993.0
