,Entity,Year,Freshwater use
0,BRICS,1901,301174824608
1,BRICS,1902,313252195793
2,BRICS,1903,283825062307
3,BRICS,1904,315007897422
4,BRICS,1905,325405817427
5,BRICS,1906,311696998831
6,BRICS,1907,337186403696
7,BRICS,1908,327198282341
8,BRICS,1909,327566501886
9,BRICS,1910,307685301791
10,BRICS,1911,325828000254
11,BRICS,1912,335520323607
12,BRICS,1913,374985754530
13,BRICS,1914,350886354253
14,BRICS,1915,347269588296
15,BRICS,1916,339029257850
16,BRICS,1917,325361361893
17,BRICS,1918,395994320857
18,BRICS,1919,370619696830
19,BRICS,1920,414024531043
20,BRICS,1921,372015962386
21,BRICS,1922,389089774679
22,BRICS,1923,391478982991
23,BRICS,1924,385792015494
24,BRICS,1925,412174710676
25,BRICS,1926,390399808956
26,BRICS,1927,416897965506
27,BRICS,1928,425240192505
28,BRICS,1929,429291957964
29,BRICS,1930,421245451914
30,BRICS,1931,403892894167
31,BRICS,1932,434305268198
32,BRICS,1933,409671371391
33,BRICS,1934,443463399054
34,BRICS,1935,455749768067
35,BRICS,1936,460073120964
36,BRICS,1937,449575419404
37,BRICS,1938,470490499713
38,BRICS,1939,485985086461
39,BRICS,1940,485017761201
40,BRICS,1941,511770053988
41,BRICS,1942,491951259053
42,BRICS,1943,490997234861
43,BRICS,1944,493765433677
44,BRICS,1945,489851152334
45,BRICS,1946,498111435946
46,BRICS,1947,490270717600
47,BRICS,1948,497186585524
48,BRICS,1949,499600217156
49,BRICS,1950,520744905036
50,BRICS,1951,571568912658
51,BRICS,1952,589118489311
52,BRICS,1953,573861355328
53,BRICS,1954,550317321480
54,BRICS,1955,577535912137
55,BRICS,1956,574455724119
56,BRICS,1957,669047181247
57,BRICS,1958,649027474385
58,BRICS,1959,679665563361
59,BRICS,1960,723997762251
60,BRICS,1961,691769837394
61,BRICS,1962,730166667516
62,BRICS,1963,792889722755
63,BRICS,1964,779242446617
64,BRICS,1965,879835759391
65,BRICS,1966,907844776571
66,BRICS,1967,867924543868
67,BRICS,1968,1014472034916
68,BRICS,1969,976355362841
69,BRICS,1970,931218383397
70,BRICS,1971,983926882785
71,BRICS,1972,1068495811847
72,BRICS,1973,1033803839385
73,BRICS,1974,1140994146529
74,BRICS,1975,1069748635732
75,BRICS,1976,1135507855823
76,BRICS,1977,1122367389133
77,BRICS,1978,1275955698250
78,BRICS,1979,1363028489490
79,BRICS,1980,1299776111351
80,BRICS,1981,1290336947508
81,BRICS,1982,1292913809307
82,BRICS,1983,1246295119175
83,BRICS,1984,1285284153443
84,BRICS,1985,1262542366161
85,BRICS,1986,1373542475148
86,BRICS,1987,1349603643977
87,BRICS,1988,1409561145155
88,BRICS,1989,1419631440669
89,BRICS,1990,1362154757690
90,BRICS,1991,1477673466564
91,BRICS,1992,1447702933078
92,BRICS,1993,1436153884672
93,BRICS,1994,1488204265238
94,BRICS,1995,1462759630129
95,BRICS,1996,1368948329450
96,BRICS,1997,1478905346684
97,BRICS,1998,1486803781217
98,BRICS,1999,1611442105976
99,BRICS,2000,1703615472380
100,BRICS,2001,1756423671145
101,BRICS,2002,1724417158553
102,BRICS,2003,1614480726274
103,BRICS,2004,1703603043381
104,BRICS,2005,1658249209261
105,BRICS,2006,1774462612000
106,BRICS,2007,1760314565643
107,BRICS,2008,1710987187516
108,BRICS,2009,1846214311322
109,BRICS,2010,1691729200046
110,OECD,1901,117353137006
111,OECD,1902,114999879059
112,OECD,1903,121309151573
113,OECD,1904,126660221121
114,OECD,1905,122385369764
115,OECD,1906,127190623395
116,OECD,1907,130276714422
117,OECD,1908,131243052533
118,OECD,1909,138504853545
119,OECD,1910,140444850815
120,OECD,1911,139126151088
121,OECD,1912,142666270742
122,OECD,1913,151019819179
123,OECD,1914,149044287817
124,OECD,1915,148107406246
125,OECD,1916,155099842558
126,OECD,1917,161593143217
127,OECD,1918,160618291040
128,OECD,1919,160475042202
129,OECD,1920,159125795521
130,OECD,1921,163209814464
131,OECD,1922,171956849141
132,OECD,1923,165230952666
133,OECD,1924,181222328999
134,OECD,1925,174708303993
135,OECD,1926,182731150854
136,OECD,1927,181690747976
137,OECD,1928,187270352838
138,OECD,1929,195572235289
139,OECD,1930,194988575296
140,OECD,1931,200603040193
141,OECD,1932,194853553609
142,OECD,1933,202732473578
143,OECD,1934,209801845364
144,OECD,1935,203514608255
145,OECD,1936,211187890906
146,OECD,1937,217488398901
147,OECD,1938,219100065035
148,OECD,1939,231477042257
149,OECD,1940,232909936619
150,OECD,1941,223341541928
151,OECD,1942,245613233005
