,Area,Area Id,Variable Name,Variable Id,Year,Value
0,Albania,3.0,Agricultural water withdrawal,4250.0,1990.0,1.0
1,Albania,3.0,Agricultural water withdrawal,4250.0,1995.0,0.67
2,Albania,3.0,Agricultural water withdrawal,4250.0,2000.0,1.06
3,Albania,3.0,Agricultural water withdrawal,4250.0,2006.0,0.5176
4,Albania,3.0,Agricultural water withdrawal,4250.0,2017.0,0.905
5,Austria,11.0,Agricultural water withdrawal,4250.0,1990.0,0.1
6,Austria,11.0,Agricultural water withdrawal,4250.0,1997.0,0.1
7,Austria,11.0,Agricultural water withdrawal,4250.0,2002.0,0.1
8,Austria,11.0,Agricultural water withdrawal,4250.0,2010.0,0.0771
9,Belarus,57.0,Agricultural water withdrawal,4250.0,1995.0,0.568
10,Belarus,57.0,Agricultural water withdrawal,4250.0,2000.0,0.442
11,Belarus,57.0,Agricultural water withdrawal,4250.0,2005.0,0.409
12,Belarus,57.0,Agricultural water withdrawal,4250.0,2010.0,0.47100000000000003
13,Belarus,57.0,Agricultural water withdrawal,4250.0,2017.0,0.431
14,Belgium,255.0,Agricultural water withdrawal,4250.0,1997.0,0.016
15,Belgium,255.0,Agricultural water withdrawal,4250.0,2002.0,0.0382
16,Belgium,255.0,Agricultural water withdrawal,4250.0,2007.0,0.0369
17,Belgium,255.0,Agricultural water withdrawal,4250.0,2012.0,0.036000000000000004
18,Belgium,255.0,Agricultural water withdrawal,4250.0,2015.0,0.045
19,Bulgaria,27.0,Agricultural water withdrawal,4250.0,1990.0,2.225
20,Bulgaria,27.0,Agricultural water withdrawal,4250.0,2002.0,0.743
21,Bulgaria,27.0,Agricultural water withdrawal,4250.0,2006.0,0.8759
22,Bulgaria,27.0,Agricultural water withdrawal,4250.0,2012.0,0.9494
23,Bulgaria,27.0,Agricultural water withdrawal,4250.0,2017.0,0.8345
24,Croatia,98.0,Agricultural water withdrawal,4250.0,2002.0,0.0059
25,Croatia,98.0,Agricultural water withdrawal,4250.0,2007.0,0.0032
26,Croatia,98.0,Agricultural water withdrawal,4250.0,2010.0,0.0086
27,Croatia,98.0,Agricultural water withdrawal,4250.0,2015.0,0.076
28,Cyprus,50.0,Agricultural water withdrawal,4250.0,1990.0,0.166
29,Cyprus,50.0,Agricultural water withdrawal,4250.0,1993.0,0.156
30,Cyprus,50.0,Agricultural water withdrawal,4250.0,2002.0,0.1606
31,Cyprus,50.0,Agricultural water withdrawal,4250.0,2007.0,0.14300000000000002
32,Cyprus,50.0,Agricultural water withdrawal,4250.0,2012.0,0.171
33,Cyprus,50.0,Agricultural water withdrawal,4250.0,2017.0,0.184
34,Czechia,167.0,Agricultural water withdrawal,4250.0,1990.0,
35,Czechia,167.0,Agricultural water withdrawal,4250.0,1997.0,0.02
36,Czechia,167.0,Agricultural water withdrawal,4250.0,2002.0,0.0187
37,Czechia,167.0,Agricultural water withdrawal,4250.0,2007.0,0.0298
38,Czechia,167.0,Agricultural water withdrawal,4250.0,2012.0,0.0432
39,Czechia,167.0,Agricultural water withdrawal,4250.0,2017.0,0.0466
40,Denmark,54.0,Agricultural water withdrawal,4250.0,1990.0,0.465
41,Denmark,54.0,Agricultural water withdrawal,4250.0,1997.0,0.369
42,Denmark,54.0,Agricultural water withdrawal,4250.0,2002.0,0.1652
43,Denmark,54.0,Agricultural water withdrawal,4250.0,2007.0,0.1175
44,Denmark,54.0,Agricultural water withdrawal,4250.0,2012.0,0.1863
45,Denmark,54.0,Agricultural water withdrawal,4250.0,2016.0,0.3267
46,Estonia,63.0,Agricultural water withdrawal,4250.0,1995.0,0.008
47,Estonia,63.0,Agricultural water withdrawal,4250.0,2002.0,0.03
48,Estonia,63.0,Agricultural water withdrawal,4250.0,2007.0,0.0076
49,Estonia,63.0,Agricultural water withdrawal,4250.0,2012.0,0.0045
50,Estonia,63.0,Agricultural water withdrawal,4250.0,2017.0,0.0045
51,Finland,67.0,Agricultural water withdrawal,4250.0,1990.0,0.02
52,Finland,67.0,Agricultural water withdrawal,4250.0,1995.0,0.05
53,Finland,67.0,Agricultural water withdrawal,4250.0,2002.0,0.05
54,Finland,67.0,Agricultural water withdrawal,4250.0,2005.0,0.05
55,France,68.0,Agricultural water withdrawal,4250.0,1992.0,4.919
56,France,68.0,Agricultural water withdrawal,4250.0,1997.0,3.35
57,France,68.0,Agricultural water withdrawal,4250.0,2002.0,4.291
58,France,68.0,Agricultural water withdrawal,4250.0,2007.0,3.9330000000000003
59,France,68.0,Agricultural water withdrawal,4250.0,2012.0,2.9130000000000003
60,France,68.0,Agricultural water withdrawal,4250.0,2016.0,3.113
61,Germany,79.0,Agricultural water withdrawal,4250.0,1991.0,1.6
62,Germany,79.0,Agricultural water withdrawal,4250.0,1995.0,1.6
63,Germany,79.0,Agricultural water withdrawal,4250.0,2000.0,1.14
64,Germany,79.0,Agricultural water withdrawal,4250.0,2007.0,0.1317
65,Germany,79.0,Agricultural water withdrawal,4250.0,2010.0,0.2109
66,Germany,79.0,Agricultural water withdrawal,4250.0,2016.0,0.2997
67,Greece,84.0,Agricultural water withdrawal,4250.0,1992.0,7.9
68,Greece,84.0,Agricultural water withdrawal,4250.0,1997.0,7.6
69,Greece,84.0,Agricultural water withdrawal,4250.0,2002.0,8.42
70,Greece,84.0,Agricultural water withdrawal,4250.0,2007.0,8.458
71,Greece,84.0,Agricultural water withdrawal,4250.0,2012.0,8.283
72,Greece,84.0,Agricultural water withdrawal,4250.0,2016.0,9.041
73,Hungary,97.0,Agricultural water withdrawal,4250.0,1992.0,0.9490000000000001
74,Hungary,97.0,Agricultural water withdrawal,4250.0,1996.0,0.4556
75,Hungary,97.0,Agricultural water withdrawal,4250.0,2002.0,0.6796
76,Hungary,97.0,Agricultural water withdrawal,4250.0,2006.0,0.3054
77,Hungary,97.0,Agricultural water withdrawal,4250.0,2012.0,0.322
78,Hungary,97.0,Agricultural water withdrawal,4250.0,2017.0,0.5186
79,Iceland,99.0,Agricultural water withdrawal,4250.0,1992.0,0.07
80,Iceland,99.0,Agricultural water withdrawal,4250.0,2002.0,0.07
81,Iceland,99.0,Agricultural water withdrawal,4250.0,2004.0,0.07
82,Iceland,99.0,Agricultural water withdrawal,4250.0,2012.0,0.0003
83,Iceland,99.0,Agricultural water withdrawal,4250.0,2015.0,0.0003
84,Ireland,104.0,Agricultural water withdrawal,4250.0,1994.0,0.179
85,Italy,106.0,Agricultural water withdrawal,4250.0,2000.0,20.01
86,Italy,106.0,Agricultural water withdrawal,4250.0,2007.0,12.89
87,Italy,106.0,Agricultural water withdrawal,4250.0,2013.0,17.0
88,Latvia,119.0,Agricultural water withdrawal,4250.0,1995.0,0.036000000000000004
89,Latvia,119.0,Agricultural water withdrawal,4250.0,2002.0,0.0532
90,Latvia,119.0,Agricultural water withdrawal,4250.0,2007.0,0.0506
91,Latvia,119.0,Agricultural water withdrawal,4250.0,2012.0,0.0408
92,Latvia,119.0,Agricultural water withdrawal,4250.0,2017.0,0.0615
93,Lithuania,126.0,Agricultural water withdrawal,4250.0,1995.0,0.008
94,Lithuania,126.0,Agricultural water withdrawal,4250.0,2001.0,0.053
95,Lithuania,126.0,Agricultural water withdrawal,4250.0,2007.0,0.0818
96,Lithuania,126.0,Agricultural water withdrawal,4250.0,2009.0,0.0793
97,Lithuania,126.0,Agricultural water withdrawal,4250.0,2017.0,0.0589
98,Luxembourg,256.0,Agricultural water withdrawal,4250.0,1995.0,0.0002
99,Luxembourg,256.0,Agricultural water withdrawal,4250.0,1999.0,0.0002
