

"Area","Area Id","Variable Name","Variable Id","Year","Value","Symbol","Md"
"Afghanistan",2,"MDG 7.5. Freshwater withdrawal as % of total renewable water resources",4275,1975,16.38,"K","",""
"Afghanistan",2,"MDG 7.5. Freshwater withdrawal as % of total renewable water resources",4275,1987,39.97,"K","",""
"Afghanistan",2,"MDG 7.5. Freshwater withdrawal as % of total renewable water resources",4275,2000,31.04,"K","",""
"Afghanistan",2,"SDG 6.4.2. Water Stress",4550,1975,28.89,"K","",""
"Afghanistan",2,"SDG 6.4.2. Water Stress",4550,1987,70.49,"K","",""
"Afghanistan",2,"SDG 6.4.2. Water Stress",4550,2000,54.75,"K","",""
"Albania",3,"MDG 7.5. Freshwater withdrawal as % of total renewable water resources",4275,1990,3.974,"I","",""
"Albania",3,"MDG 7.5. Freshwater withdrawal as % of total renewable water resources",4275,2000,6.086,"I","",""
"Albania",3,"MDG 7.5. Freshwater withdrawal as % of total renewable water resources",4275,2006,4.341,"I","",""
"Albania",3,"MDG 7.5. Freshwater withdrawal as % of total renewable water resources",4275,2017,3.934,"I","",""
"Albania",3,"SDG 6.4.2. Water Stress",4550,1990,7.212,"K","",""
"Albania",3,"SDG 6.4.2. Water Stress",4550,2000,11.05,"K","",""
"Albania",3,"SDG 6.4.2. Water Stress",4550,2006,7.879,"K","",""
"Albania",3,"SDG 6.4.2. Water Stress",4550,2017,7.139,"K","",""
"Algeria",4,"MDG 7.5. Freshwater withdrawal as % of total renewable water resources",4275,1970,17.14,"I","",""
"Algeria",4,"MDG 7.5. Freshwater withdrawal as % of total renewable water resources",4275,1975,21.42,"I","",""
"Algeria",4,"MDG 7.5. Freshwater withdrawal as % of total renewable water resources",4275,1980,25.71,"I","",""
"Algeria",4,"MDG 7.5. Freshwater withdrawal as % of total renewable water resources",4275,1985,29.99,"I","",""
"Algeria",4,"MDG 7.5. Freshwater withdrawal as % of total renewable water resources",4275,1990,38.01,"I","",""
"Algeria",4,"MDG 7.5. Freshwater withdrawal as % of total renewable water resources",4275,2001,48.89,"I","",""
"Algeria",4,"MDG 7.5. Freshwater withdrawal as % of total renewable water resources",4275,2012,66.92,"I","",""
"Algeria",4,"MDG 7.5. Freshwater withdrawal as % of total renewable water resources",4275,2017,83.99,"I","",""
"Algeria",4,"SDG 6.4.2. Water Stress",4550,1970,28.13,"K","",""
"Algeria",4,"SDG 6.4.2. Water Stress",4550,1975,35.16,"K","",""
"Algeria",4,"SDG 6.4.2. Water Stress",4550,1980,42.19,"K","",""
"Algeria",4,"SDG 6.4.2. Water Stress",4550,1985,49.23,"K","",""
"Algeria",4,"SDG 6.4.2. Water Stress",4550,1990,62.39,"K","",""
"Algeria",4,"SDG 6.4.2. Water Stress",4550,2001,80.25,"K","",""
"Algeria",4,"SDG 6.4.2. Water Stress",4550,2012,109.8,"K","",""
"Algeria",4,"SDG 6.4.2. Water Stress",4550,2017,137.9,"K","",""
"Angola",7,"MDG 7.5. Freshwater withdrawal as % of total renewable water resources",4275,1987,0.3235,"I","",""
"Angola",7,"MDG 7.5. Freshwater withdrawal as % of total renewable water resources",4275,2000,0.4315,"I","",""
"Angola",7,"MDG 7.5. Freshwater withdrawal as % of total renewable water resources",4275,2005,0.4755,"I","",""
"Angola",7,"SDG 6.4.2. Water Stress",4550,1987,1.273,"K","",""
"Angola",7,"SDG 6.4.2. Water Stress",4550,2000,1.699,"K","",""
"Angola",7,"SDG 6.4.2. Water Stress",4550,2005,1.872,"K","",""
"Antigua and Barbuda",8,"MDG 7.5. Freshwater withdrawal as % of total renewable water resources",4275,1990,3.269,"","",""
"Antigua and Barbuda",8,"MDG 7.5. Freshwater withdrawal as % of total renewable water resources",4275,2005,9.808,"I","",""
