

"Area","Area Id","Variable Name","Variable Id","Year","Value","Symbol","Md"
"Albania",3,"Agricultural water withdrawal",4250,1990,1.0,"","",""
"Albania",3,"Agricultural water withdrawal",4250,1995,0.67,"","[1]",""
"Albania",3,"Agricultural water withdrawal",4250,2000,1.06,"L","",""
"Albania",3,"Agricultural water withdrawal",4250,2006,0.5176,"L","[2]",""
"Albania",3,"Agricultural water withdrawal",4250,2017,0.905,"","",""
"Austria",11,"Agricultural water withdrawal",4250,1990,0.1,"E","[3]",""
"Austria",11,"Agricultural water withdrawal",4250,1997,0.1,"E","[4]",""
"Austria",11,"Agricultural water withdrawal",4250,2002,0.1,"E","",""
"Austria",11,"Agricultural water withdrawal",4250,2010,0.0771,"E","",""
"Belarus",57,"Agricultural water withdrawal",4250,1995,0.568,"","[5]",""
"Belarus",57,"Agricultural water withdrawal",4250,2000,0.442,"","[6]",""
"Belarus",57,"Agricultural water withdrawal",4250,2005,0.409,"","[7]",""
"Belarus",57,"Agricultural water withdrawal",4250,2010,0.471,"","[8]",""
"Belarus",57,"Agricultural water withdrawal",4250,2017,0.431,"","",""
"Belgium",255,"Agricultural water withdrawal",4250,1997,0.016,"E","",""
"Belgium",255,"Agricultural water withdrawal",4250,2002,0.0382,"E","[9]",""
"Belgium",255,"Agricultural water withdrawal",4250,2007,0.0369,"E","[10]",""
"Belgium",255,"Agricultural water withdrawal",4250,2012,0.036,"E","",""
"Belgium",255,"Agricultural water withdrawal",4250,2015,0.045,"E","",""
"Bulgaria",27,"Agricultural water withdrawal",4250,1990,2.225,"I","",""
"Bulgaria",27,"Agricultural water withdrawal",4250,2002,0.743,"E","[11]",""
"Bulgaria",27,"Agricultural water withdrawal",4250,2006,0.8759,"E","[12]",""
"Bulgaria",27,"Agricultural water withdrawal",4250,2012,0.9494,"","",""
"Bulgaria",27,"Agricultural water withdrawal",4250,2017,0.8345,"E","",""
"Croatia",98,"Agricultural water withdrawal",4250,2002,0.0059,"","",""
"Croatia",98,"Agricultural water withdrawal",4250,2007,0.0032,"E","[13]",""
"Croatia",98,"Agricultural water withdrawal",4250,2010,0.0086,"","",""
"Croatia",98,"Agricultural water withdrawal",4250,2015,0.076,"","",""
"Cyprus",50,"Agricultural water withdrawal",4250,1990,0.166,"","",""
"Cyprus",50,"Agricultural water withdrawal",4250,1993,0.156,"","",""
"Cyprus",50,"Agricultural water withdrawal",4250,2002,0.1606,"E","[14]",""
"Cyprus",50,"Agricultural water withdrawal",4250,2007,0.143,"E","[15]",""
"Cyprus",50,"Agricultural water withdrawal",4250,2012,0.171,"E","[16]",""
"Cyprus",50,"Agricultural water withdrawal",4250,2017,0.184,"","",""
"Czechia",167,"Agricultural water withdrawal",4250,1990,,,"[17]",
"Czechia",167,"Agricultural water withdrawal",4250,1997,0.02,"E","[18]",""
"Czechia",167,"Agricultural water withdrawal",4250,2002,0.0187,"E","",""
"Czechia",167,"Agricultural water withdrawal",4250,2007,0.0298,"E","",""
"Czechia",167,"Agricultural water withdrawal",4250,2012,0.0432,"E","[19]",""
"Czechia",167,"Agricultural water withdrawal",4250,2017,0.0466,"","",""
"Denmark",54,"Agricultural water withdrawal",4250,1990,0.465,"E","",""
"Denmark",54,"Agricultural water withdrawal",4250,1997,0.369,"E","",""
"Denmark",54,"Agricultural water withdrawal",4250,2002,0.1652,"E","[20]",""
"Denmark",54,"Agricultural water withdrawal",4250,2007,0.1175,"E","[21]",""
"Denmark",54,"Agricultural water withdrawal",4250,2012,0.1863,"E","",""
"Denmark",54,"Agricultural water withdrawal",4250,2016,0.3267,"","",""
"Estonia",63,"Agricultural water withdrawal",4250,1995,0.008,"","",""
"Estonia",63,"Agricultural water withdrawal",4250,2002,0.03,"E","[22]",""
"Estonia",63,"Agricultural water withdrawal",4250,2007,0.0076,"E","[23]",""
"Estonia",63,"Agricultural water withdrawal",4250,2012,0.0045,"","",""
"Estonia",63,"Agricultural water withdrawal",4250,2017,0.0045,"","",""
"Finland",67,"Agricultural water withdrawal",4250,1990,0.02,"E","",""
"Finland",67,"Agricultural water withdrawal",4250,1995,0.05,"E","",""
"Finland",67,"Agricultural water withdrawal",4250,2002,0.05,"E","[24]",""
"Finland",67,"Agricultural water withdrawal",4250,2005,0.05,"E","[25]",""
"France",68,"Agricultural water withdrawal",4250,1992,4.919,"E","",""
"France",68,"Agricultural water withdrawal",4250,1997,3.35,"E","",""
"France",68,"Agricultural water withdrawal",4250,2002,4.291,"E","[26]",""
"France",68,"Agricultural water withdrawal",4250,2007,3.933,"E","[27]",""
"France",68,"Agricultural water withdrawal",4250,2012,2.913,"","",""
"France",68,"Agricultural water withdrawal",4250,2016,3.113,"","[28]",""
"Germany",79,"Agricultural water withdrawal",4250,1991,1.6,"E","",""
"Germany",79,"Agricultural water withdrawal",4250,1995,1.6,"","",""
"Germany",79,"Agricultural water withdrawal",4250,2000,1.14,"E","",""
"Germany",79,"Agricultural water withdrawal",4250,2007,0.1317,"E","",""
"Germany",79,"Agricultural water withdrawal",4250,2010,0.2109,"E","[29]",""
"Germany",79,"Agricultural water withdrawal",4250,2016,0.2997,"E","",""
"Greece",84,"Agricultural water withdrawal",4250,1992,7.9,"E","[30]",""
"Greece",84,"Agricultural water withdrawal",4250,1997,7.6,"E","[31]",""
"Greece",84,"Agricultural water withdrawal",4250,2002,8.42,"E","[32]",""
"Greece",84,"Agricultural water withdrawal",4250,2007,8.458,"E","[33]",""
"Greece",84,"Agricultural water withdrawal",4250,2012,8.283,"E","",""
"Greece",84,"Agricultural water withdrawal",4250,2016,9.041,"E","",""
